"category","meta_cat","group_num","year","gross_inv","gross_inv_chain","gross_inv_ipd","high_cat"
"Private","Water supply",5,1947,15,197,7.61421319796954,"Total basic infrastructure"
"Private","Water supply",5,1948,14,165,8.48484848484849,"Total basic infrastructure"
"Private","Water supply",5,1949,16,201,7.96019900497512,"Total basic infrastructure"
"Private","Water supply",5,1950,24,310,7.74193548387097,"Total basic infrastructure"
"Private","Water supply",5,1951,13,155,8.38709677419355,"Total basic infrastructure"
"Private","Water supply",5,1952,18,197,9.13705583756345,"Total basic infrastructure"
"Private","Water supply",5,1953,25,280,8.92857142857143,"Total basic infrastructure"
"Private","Water supply",5,1954,25,292,8.56164383561644,"Total basic infrastructure"
"Private","Water supply",5,1955,32,381,8.3989501312336,"Total basic infrastructure"
"Private","Water supply",5,1956,27,285,9.47368421052632,"Total basic infrastructure"
"Private","Water supply",5,1957,42,421,9.97624703087886,"Total basic infrastructure"
"Private","Water supply",5,1958,41,406,10.0985221674877,"Total basic infrastructure"
"Private","Water supply",5,1959,44,445,9.8876404494382,"Total basic infrastructure"
"Private","Water supply",5,1960,59,611,9.65630114566285,"Total basic infrastructure"
"Private","Water supply",5,1961,53,543,9.76058931860037,"Total basic infrastructure"
"Private","Water supply",5,1962,58,588,9.86394557823129,"Total basic infrastructure"
"Private","Water supply",5,1963,65,645,10.077519379845,"Total basic infrastructure"
"Private","Water supply",5,1964,71,691,10.2749638205499,"Total basic infrastructure"
"Private","Water supply",5,1965,87,830,10.4819277108434,"Total basic infrastructure"
"Private","Water supply",5,1966,102,929,10.9795479009688,"Total basic infrastructure"
"Private","Water supply",5,1967,95,841,11.2960760998811,"Total basic infrastructure"
"Private","Water supply",5,1968,120,989,12.1334681496461,"Total basic infrastructure"
"Private","Water supply",5,1969,156,1198,13.0217028380634,"Total basic infrastructure"
"Private","Water supply",5,1970,199,1403,14.183891660727,"Total basic infrastructure"
"Private","Water supply",5,1971,209,1373,15.2221412964312,"Total basic infrastructure"
"Private","Water supply",5,1972,198,1229,16.1106590724166,"Total basic infrastructure"
"Private","Water supply",5,1973,202,1172,17.2354948805461,"Total basic infrastructure"
"Private","Water supply",5,1974,231,1117,20.680393912265,"Total basic infrastructure"
"Private","Water supply",5,1975,256,1088,23.5294117647059,"Total basic infrastructure"
"Private","Water supply",5,1976,268,1112,24.1007194244604,"Total basic infrastructure"
"Private","Water supply",5,1977,326,1267,25.7300710339384,"Total basic infrastructure"
"Private","Water supply",5,1978,385,1451,26.5334252239835,"Total basic infrastructure"
"Private","Water supply",5,1979,490,1707,28.705330990041,"Total basic infrastructure"
"Private","Water supply",5,1980,504,1545,32.621359223301,"Total basic infrastructure"
"Private","Water supply",5,1981,571,1549,36.8624919302776,"Total basic infrastructure"
"Private","Water supply",5,1982,635,1598,39.7371714643304,"Total basic infrastructure"
"Private","Water supply",5,1983,733,1837,39.9020141535112,"Total basic infrastructure"
"Private","Water supply",5,1984,953,2410,39.5435684647303,"Total basic infrastructure"
"Private","Water supply",5,1985,1364,3393,40.2004126142057,"Total basic infrastructure"
"Private","Water supply",5,1986,1139,2753,41.3730475844533,"Total basic infrastructure"
"Private","Water supply",5,1987,1315,3064,42.9177545691906,"Total basic infrastructure"
"Private","Water supply",5,1988,1062,2430,43.7037037037037,"Total basic infrastructure"
"Private","Water supply",5,1989,1231,2747,44.8125227520932,"Total basic infrastructure"
"Private","Water supply",5,1990,1480,3180,46.5408805031447,"Total basic infrastructure"
"Private","Water supply",5,1991,1473,3086,47.7316915100454,"Total basic infrastructure"
"Private","Water supply",5,1992,1787,3698,48.3234180638183,"Total basic infrastructure"
"Private","Water supply",5,1993,1642,3364,48.8109393579073,"Total basic infrastructure"
"Private","Water supply",5,1994,1446,2883,50.156087408949,"Total basic infrastructure"
"Private","Water supply",5,1995,1712,3265,52.4349157733538,"Total basic infrastructure"
"Private","Water supply",5,1996,1404,2596,54.0832049306626,"Total basic infrastructure"
"Private","Water supply",5,1997,1197,2149,55.700325732899,"Total basic infrastructure"
"Private","Water supply",5,1998,1170,2075,56.3855421686747,"Total basic infrastructure"
"Private","Water supply",5,1999,890,1522,58.4756898817346,"Total basic infrastructure"
"Private","Water supply",5,2000,1538,2525,60.9108910891089,"Total basic infrastructure"
"Private","Water supply",5,2001,1213,1921,63.1441957313899,"Total basic infrastructure"
"Private","Water supply",5,2002,855,1328,64.3825301204819,"Total basic infrastructure"
"Private","Water supply",5,2003,847,1292,65.5572755417957,"Total basic infrastructure"
"Private","Water supply",5,2004,872,1256,69.4267515923567,"Total basic infrastructure"
"Private","Water supply",5,2005,702,927,75.7281553398058,"Total basic infrastructure"
"Private","Water supply",5,2006,1027,1260,81.5079365079365,"Total basic infrastructure"
"Private","Water supply",5,2007,1111,1281,86.7291178766589,"Total basic infrastructure"
"Private","Water supply",5,2008,920,1023,89.9315738025415,"Total basic infrastructure"
"Private","Water supply",5,2009,572,635,90.0787401574803,"Total basic infrastructure"
"Private","Water supply",5,2010,1157,1241,93.2312651087832,"Total basic infrastructure"
"Private","Water supply",5,2011,911,944,96.5042372881356,"Total basic infrastructure"
"Private","Water supply",5,2012,467,467,100,"Total basic infrastructure"
"Private","Water supply",5,2013,741,729,101.646090534979,"Total basic infrastructure"
"Private","Water supply",5,2014,719,688,104.505813953488,"Total basic infrastructure"
"Private","Water supply",5,2015,676,632,106.962025316456,"Total basic infrastructure"
"Private","Water supply",5,2016,258,238,108.403361344538,"Total basic infrastructure"
"Private","Water supply",5,2017,233,209,111.483253588517,"Total basic infrastructure"
"S&L","Water supply",5,1947,165.433,2580.759,6.41024597802429,"Total basic infrastructure"
"S&L","Water supply",5,1948,238.144,3243.864,7.34136819546072,"Total basic infrastructure"
"S&L","Water supply",5,1949,270.374,3582.722,7.54660841672896,"Total basic infrastructure"
"S&L","Water supply",5,1950,283.251,3566.751,7.94142904845334,"Total basic infrastructure"
"S&L","Water supply",5,1951,357.353,4216.178,8.47575695333546,"Total basic infrastructure"
"S&L","Water supply",5,1952,361.795,4146.481,8.72535048394048,"Total basic infrastructure"
